theta1,theta2,theta3,cluster
78.16739944645089,122.70220466952064,111.61430493196752,5
115.00296591751469,73.45241504664862,102.12082237454314,57
59.791108367507775,56.64113956322862,114.73400675647676,48
65.51098770641377,68.43389580391197,87.20283071171947,20
137.00044667647248,62.53750297722122,71.993323966284,18
63.15519699224674,70.24039960796493,117.8949681050218,31
92.32415735029672,65.82992979758127,67.87283545188826,44
92.20388870243782,74.71688661826796,54.90180925505307,37
51.91652542264206,62.98419151665454,109.10040611086136,48
99.2637697779258,85.16190914108462,112.03122363552252,15
101.28917734094816,84.51684548243985,119.60458646297916,15
101.68359547314454,87.29928447866197,91.15115190852852,59
94.15486723096102,63.557838284417,112.15933576832032,34
66.36412558259373,66.42167372832779,108.48500149633657,16
77.0979754710971,64.17444014174009,118.42712602011552,8
100.57839903114296,69.23462983286876,124.7257344466339,6
110.2129708916124,76.90354559943339,108.26917345481998,32
106.0615445030486,64.87857086750488,116.23354079611596,34
88.16123099468307,59.08794755444191,101.30985275567664,40
66.56032472549043,50.32902074065575,111.97434076090136,48
75.52410920230128,90.8892212405012,110.14832785294448,26
101.591274441098,56.8439596121632,104.91716717959665,42
100.71830962363973,75.84743227142316,101.11413925772024,13
92.72443699491885,56.04219228494158,125.52717385354354,36
96.84793008257506,60.63503828938232,95.63745765288536,56
82.55420325820224,57.77870022655989,90.87254026680584,56
71.30711254431841,63.16686032710054,104.8958714964516,16
82.04228675213061,63.207429722615394,108.7616352994763,40
106.50512679392476,67.92911475054258,97.8644541515093,13
122.57116536817858,82.49157737043147,114.4496178565746,32
113.7281475018525,66.9456984669029,103.9090178316581,57
53.12380059773791,57.225872515607314,125.33336256197246,48
87.08460507650712,45.02076280561435,122.51131109705948,36
120.83711763289492,76.36743695830405,106.77459881983778,32
99.8293498013493,90.44372669057506,118.08218840315904,15
89.07767788287529,109.69603950087242,106.1188497475109,38
80.12309840723967,118.08250262549272,83.85912302103694,53
92.71787670991424,104.05884493344024,75.37960942360694,52
74.11271604015397,102.79742384369268,75.64122566247009,19
66.65397240280198,111.62367814514556,98.74728335515024,29
95.37941844991936,118.71507980584164,114.9715429665036,45
121.58372613291284,111.78261363371958,100.02339654344004,43
70.28859715985493,120.60244420898572,114.35802216622666,5
