Mol. index,alpha1,alpha2,alpha3,cluster,6-1-14-20,1-6-13-19,25-26-34-39,26-25-33-38,44-45-53-58,45-44-52-57,63-64-72-77,64-63-71-76,subcluster
163,72.71467296528014,130.11704288038987,59.472519713217366,0,4.9269816375536735,182.7412601802753,-10.447925101000246,156.75383782836883,-19.05519838957598,170.71401805277287,173.0150458025502,7.653899887900785,0
327,77.83078322859217,127.07263620198734,64.98258392741234,0,18.79346548538033,165.5021833161111,15.350905866577865,184.3324669844413,-8.818742267377548,153.28458155695049,3.259865376233801,155.09529207193864,3
482,63.10546239271783,133.29821635390954,55.88184555940833,0,10.615508903411088,171.32222550224716,1.9247086562999816,176.64623931196573,9.320094696814897,187.2071412803877,162.0336530274343,11.67846240584602,0
494,64.05067559137575,127.77675838839971,69.85312194597971,0,-13.63128117461974,152.6536857211447,-6.8044895327687644,139.78580811461927,-8.845866223740042,186.6701588016886,170.04352473816203,7.176579607056469,0
553,69.0983648981903,121.17586315303204,68.89163694148776,0,-16.350050891637963,195.81861160652122,-36.44294379928295,178.1597481805559,17.290328628423158,193.84374060678778,160.54132747108977,26.194453305274752,0
690,63.20843719299382,137.2826143731711,65.10538445126151,0,-5.151616146589091,168.83573961513426,-4.247871022018981,164.76695319425184,-15.54198491851706,171.735707700416,-27.08300782176365,149.5222975161517,3
1122,80.5017687760333,127.14991147086924,70.31880497171625,0,11.8817224240446,168.96784671735588,210.3164556641838,164.96808510492323,-10.091055799693365,193.50995451366018,188.46913997313953,2.064587637777944,4
1124,66.86849916931958,124.55853145820848,51.59296205529713,0,3.164604134397582,172.14725288919348,231.33440483285082,178.86550784575695,5.871453416569351,158.7883148898955,186.4779503010329,21.37621648598517,4
1128,73.91875060271357,126.77735406025354,67.99511276671905,0,-3.8698655108273887,193.91423219284997,179.93160662423227,212.04123371171943,31.74801428427744,192.02309822476778,179.64711806807944,21.28700520260886,4
1129,66.48849426657699,130.68782368667826,70.20801631676235,0,-7.640264163255669,188.03992876282115,186.48425277542856,162.90559901360777,181.2352036760972,217.0206618951395,178.09603275467867,19.293460746549385,1
1132,72.99604184507584,126.50202112830124,61.47716406622494,0,-2.239537041796856,166.3763172006175,167.76080087253925,199.65542755929854,186.6974144415191,185.59890735239452,188.82352940093213,21.71163368156756,1
1142,62.39859321067771,122.4984564119472,67.0488015194452,0,0.7150108312332056,171.94290149829118,204.6492886911395,172.48177919103136,159.1294687926019,166.0388796973655,187.11596043654956,-4.396087264020738,1
1143,75.00052563249139,122.86280255850632,61.72572579995233,0,3.171485638107457,189.6158049316681,172.8107713453211,167.24211473620454,171.41512503891818,167.94635401775412,219.4382883878208,20.51486129726289,1
1457,78.38364559579243,129.34949196643743,61.521538205639736,0,-27.26691390013168,139.51480040201693,-7.523024813604919,189.91611975714363,162.44630118316752,-2.789137755601752,188.9207330587071,11.339420378515118,2
1598,65.17972300166414,136.8945821202938,72.83207820308782,0,-2.9131865755805326,145.061976370863,13.285981900074804,184.09291072139806,162.27032035330396,-22.411756790239743,166.0636788363346,-2.305025599110588,2
176,110.2439604953552,64.41057135282765,108.4491057779768,1,-9.784620495412572,165.9229407361285,5.591780122556311,163.34381748289536,-12.84745949090607,196.42269539288662,198.33296872431015,9.120379179843775,0
187,117.92859383315732,76.4118742000977,116.42267145059384,1,11.377651983622378,171.3887056611803,-35.00043289180466,207.9806027799816,-8.400382284043244,165.81555876538118,161.54146812482628,-17.296471889988588,0
188,111.99230123825632,71.96023358997574,108.78865737217008,1,-31.06496482116936,157.3145990660973,-6.085498368500667,185.4717383394965,-3.900191705863013,163.20828987151236,172.24904449935792,-10.492264071617326,0
296,111.61387246100271,72.46211245509024,113.18733172868043,1,-28.74130892750461,189.17663756365198,-6.984328579797985,154.2109256662265,10.08882388525287,173.53216024399256,-2.172199665549243,201.85250935447712,4
300,130.27065635947346,70.57812230755425,124.45534578700016,1,-5.887180577359917,184.72480697045495,-14.959423623346554,197.15698603551408,8.207861386145188,206.5097852573888,0.0349567697339179,187.67962558354816,4
413,116.66340876879936,68.22343334580415,115.80821507033026,1,-17.66164932396611,201.68210084059388,203.06868430052128,178.6225267279512,0.8293960022309292,172.15351881518848,184.89097044493022,-1.9000827669143392,3
429,117.5040616434076,64.01863930899438,114.2793228767891,1,-2.571296057349514,156.70500136822062,181.16907500455946,18.241346523501228,5.468847288304604,187.48079547339714,167.3977205380508,-10.502474686906602,1
464,113.53863614664596,65.47258506956011,129.0542906771075,1,-0.5602186211110612,168.61009818503624,184.59938936737234,0.6035012586320454,12.91863867261774,177.85316970423025,168.62479377878702,-0.9271760987176652,1
896,110.01840898198608,69.94135590528477,121.1786146614328,1,14.603790453978508,159.54693538297985,182.17641863807845,-10.518705745446995,179.21691964780894,17.031222164134537,172.33707481113044,-15.58029183302376,5
948,108.15636029743982,79.22802442445601,118.6241553426995,1,2.254184028658072,170.83567818125883,188.73954824408332,-6.50564230601352,161.2641114884755,161.33084152587352,180.3759009902473,-28.77305441442339,6
964,111.38030838923844,73.08987108672873,112.52835391577536,1,-4.728490283762249,181.93443312075644,176.7095597448818,18.36624644177224,177.7438789116384,176.5875102710669,153.64663953310708,14.309447084578697,6
993,105.89353858289712,76.24032743866589,125.27380966297916,1,11.681133212028668,175.98625629348706,166.51210332569013,-9.81524986499522,196.9714095120639,209.24687906142967,183.9097467959185,-0.3752776283212944,6
1000,107.58701713912684,68.09952321864365,104.81336187978629,1,15.416529122953191,190.14583463849644,192.06066484905247,175.84332097666,0.6306773403488927,163.2493312106932,165.57785502532946,3.325887382494796,3
1001,110.4384619816524,70.90112017182913,122.78725922128216,1,14.122716305085168,157.0254408775586,162.54652161261075,150.72870855308636,8.01025934949375,184.47756234858144,169.31659844652256,16.687336137525815,3
1012,112.47619728906956,72.93919075340042,120.13103243572728,1,6.768545539927907,202.04671969123584,180.13653474400323,163.25649914767516,7.130681001449089,194.65147254138284,178.21981777568712,18.086627139401426,3
1051,106.3881632900211,76.14610495681085,116.08394212603866,1,-7.067566175370955,181.29677817457866,198.17256756443695,-33.55910143334394,4.642076875941955,178.98021482050171,183.00823188484634,5.196319169464271,1
