alpha1,alpha2,alpha3,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,cluster
114.6136619424278,118.87096727725209,66.72837334191622,-1.2038911109726744,174.5208232608787,-15.755607192580893,194.55160230597295,172.5373469667674,-4.580406454899297,0.0
114.86156730838539,113.32160292672147,63.560166321005966,7.6480776452897645,178.57163063350635,179.97873431988748,178.037549748268,-3.364124579361144,164.73895139301862,0.0
112.29034961482338,119.56515827787288,64.35292118614328,11.987628441468203,182.1465304699864,-3.261620553794934,185.70099238503173,218.10994687163029,-10.822027186264334,0.0
115.74399992552716,111.598600852714,58.60000449579334,6.007503382221676,188.90170438759912,5.961826543130577,181.25695092153887,186.4086471562042,153.63161661684188,0.0
114.20588217074868,112.52614231104421,60.96681790005577,177.7879312237985,177.95294047557985,1.7867718267855777,185.6511947228887,185.63896857239735,2.8363774559712898,0.0
115.84787590050264,111.53015124388044,70.07196415697321,5.541948432240263,191.1221885481234,15.685859667920326,168.39892944574382,5.601116099922001,157.24439914153325,0.0
111.10418627099573,116.9139296686561,67.57276327474871,-6.842822096179111,190.06086094638235,14.287869528593436,180.38112159283511,189.41012815998616,17.668630360807494,0.0
86.51349831589789,100.97081802705527,111.61984386014966,163.74082184445345,174.59871255558673,3.905559676288525,192.35000564964028,189.31495855921509,-24.27884449672406,1.0
89.3037006025225,96.64217068536202,101.77558241761659,1.4965619154478778,181.08949088805238,4.018348767749965,182.70985656983524,187.39683098802408,10.531042530155373,1.0
89.98727998153068,98.8681845509638,101.5973989404321,-0.8801872624389793,173.48220692188843,12.756656591884603,176.6082396197753,2.519178958272653,188.20039069996997,1.0
83.13205153329963,106.62329080890234,98.62323731982336,206.02562611252264,-25.26928605411651,7.900039024309305,169.14046777859951,175.5768491251073,-1.0548177583184577,1.0
93.29837399702168,100.08284078240996,102.72138750023451,-0.2245086141714182,179.98717877387324,177.99141469001984,190.6900532747296,193.6626137466249,-0.0976746339550686,1.0
82.42893901875624,100.22960917577933,96.7553353919215,-27.68296118725815,172.9982240516556,16.10964110424987,179.80438480465796,146.30904424891168,29.593587546771158,1.0
81.90742622879897,95.93157203634615,103.58954258898883,-3.213621440519689,178.14015975395424,196.29349988974283,162.0268953696534,-11.764313727080848,159.92012100012832,1.0
90.4377656690117,100.6910229531039,103.26079733362938,-12.150303981025171,170.7572151781817,-19.914047043173568,191.61607562067553,180.43032841161897,-30.314330208095328,1.0
78.42904228423687,106.62416486705426,101.63615163441884,105.23711533888326,133.3804156447477,-25.6131854144551,189.72148084228112,206.36129748563008,9.46252288626627,1.0
108.12007444872958,76.04100425874591,78.42191864873378,10.504125321674971,172.79390198556294,-1.4397840718216384,185.6785865275084,184.2720056169569,4.436807785573697,2.0
114.77695696305409,77.54840729911331,77.21095442506557,-14.044655414942234,163.0524170271444,-13.461981021177914,182.65134661252446,15.149034883791828,185.06943934449347,2.0
104.09211617502926,77.47049264244205,75.37482130904041,2.8791752358478986,176.39262626350188,191.29253862728328,190.3457959211676,-4.41606181718568,192.5502325334588,2.0
97.56166066625364,71.1617131978345,83.36966955926762,14.346496106198211,165.19448087531114,-9.215871034961369,181.1402482027312,184.60997318203584,193.8514042413027,2.0
76.07703430097182,63.55680950364174,92.04376939741243,-2.3565269501409025,171.94453762118889,-1.6566602903408323,180.77252923573982,185.1216722911875,4.607948756652144,3.0
71.19073228195052,65.08295735184696,88.5009925349601,8.587598370653977,193.85679080906127,176.1091323870809,199.94786041935677,-0.17002777683994363,162.8162393221392,3.0
77.30767548583239,75.0678349906867,91.24491750525436,170.55369029670038,13.641373657800829,-6.023026536575155,183.6789959724296,220.467553625445,-18.06934505968517,3.0
72.96821168316409,61.864054175711125,90.7176581008018,190.60696364949342,169.13520926376233,8.952660432276016,201.32802534332518,167.58375558111382,4.5007177653780746,3.0
75.5997126298113,62.96610443633921,88.5117876223063,1.1118391407223336,180.477152574923,-13.9722179371304,181.41724104902187,185.0482556994123,155.37289811945027,3.0
74.05934412665638,66.34815757326115,93.03976701305908,0.2435693202687115,164.0119095372756,194.4551316534036,198.68734438118187,141.1855754126157,172.04514008857933,3.0
85.2080402807346,100.36157268772668,57.311430250067524,5.3087504111034285,177.32911914198607,-3.1292273437835263,185.33677834061822,194.97392850165818,-0.5643600969634069,4.0
86.59898644826859,105.15334024349268,56.10379521504867,-2.3650369928162287,180.3392742521149,-14.421800053443794,172.57956605456653,-6.215455100216608,187.69935478172727,4.0
91.89962291392175,93.97569955180379,52.849054182122885,10.790127022223354,169.2566268378847,168.06987787697204,169.158956203433,20.05187752117254,156.22570417217707,4.0
70.20561738994094,123.51279491920506,109.5761224233065,1.8382709420903578,178.39336268003424,2.479852676148352,179.84127807223518,180.1563584617688,-2.7403509586211383,5.0
72.31080586699846,127.4818481969969,107.41347341734449,183.83701320989434,164.22186709426197,5.199678199188708,186.65532186718843,188.71623485643164,-1.2663268145068145,5.0
74.13308689493641,112.87170709546808,104.35913964550136,5.946832192834292,134.36195213188972,40.14984093182287,170.04731442699892,-0.5332045239265107,168.42429841833393,5.0
78.16739944645089,122.70220466952064,111.61430493196752,10.574845961661747,188.24192692614832,190.1482839810436,162.0344857189781,175.68076295960265,-12.947748823742067,5.0
73.90081676075303,126.31079944127004,112.64154085968694,159.32506399348318,13.00418866598174,-8.569850107675801,187.31994474473126,185.74319285589937,14.22087197527448,5.0
99.80882392224508,81.49909975467563,130.60764264588985,8.454290909794217,198.14640077587623,214.98914161042345,184.15657868208612,-4.987040343298142,181.0274915462248,6.0
108.42992142409864,69.22631461875017,129.81453610012508,-0.45244847281200906,173.12756887233854,-5.713908188793891,187.29580457836474,177.57775643079523,-10.04099928113392,6.0
105.95564387364287,65.98681353000133,124.39624023306018,153.16210378754465,17.2889740563076,-9.192216126740963,187.11814812928674,176.74874156268228,-8.374378575141568,6.0
112.41858439422829,60.39322738492987,126.43912887084733,21.907349415516517,177.87591100404438,5.090200659221463,195.2412051661172,155.89252234680174,179.17707266943728,6.0
100.57839903114296,69.23462983286876,124.7257344466339,3.401924188193754,197.9343945179426,196.4924413073165,174.37382390296105,227.67647927218368,-27.217776629669945,6.0
