theta1,theta2,theta3,cluster
71.60029729921601,131.16880767530083,46.96821822985999,20
73.50486620093054,91.4222910206409,65.84224760203361,24
68.78697554235363,125.80638105425088,58.541284463149125,20
70.67465339715719,117.6657260497066,88.10133645561717,5
66.20657639270779,113.76634846650056,71.00526506987036,23
75.9617011729002,116.12430332059888,66.40495115641224,20
70.13836763784236,114.1593557930213,51.657833673243935,50
92.39154940262743,86.63572266240844,63.42218381048733,18
107.75567573518346,62.13009537482347,64.14473785152728,4
74.77591194038393,62.36134756047076,61.92842268885751,34
62.36820720536304,49.84132703875386,112.18549748829922,59
78.61798057342399,82.59287241429132,112.51181932452704,3
78.9490375681363,115.44678918540689,125.146277356321,19
106.9157943233861,93.75076067393792,98.1031373140158,11
105.56030456466308,98.50777874900764,70.22636105138226,51
103.30910813554011,107.63726254225377,66.90840893841367,51
68.5303918380588,108.08629291061192,64.25802426485474,6
73.05836302277837,102.05750796715536,77.40752179218654,6
79.61066141144953,117.11612307528226,61.33820096462404,20
72.7121955669087,88.08179201395198,67.26039641636221,24
72.88205612813819,56.182925859792846,67.45823787043192,42
66.49726454045911,56.168462627874405,77.45861077582373,42
85.99450083679312,71.54185557607813,66.10458509770048,44
69.02608950024619,51.40718049013146,77.98791561996461,42
78.41574011504731,53.18417719973861,93.54284434225096,16
91.50014569775972,64.7768394781303,110.69671673479736,57
77.12715106318943,77.55760098073107,109.52584062309106,3
58.4122566480041,61.38285353234703,117.20481520593069,59
75.93698774674903,62.57396474849782,111.7057185479304,37
80.21381767794738,70.15430744561392,115.79600667076116,3
74.34590186118508,54.92921043992261,108.0302828531345,13
72.0729348141146,68.09986126629607,88.95740389776239,16
101.83942661432134,56.87965587828224,91.4339694580178,39
101.47450479471118,71.81652104361157,109.14402376699049,57
101.1524615200238,69.10500305137548,111.9612223512532,57
103.75201044468707,67.73092842177472,110.69426389207446,57
72.02677111578946,53.735850674317085,114.37707703289372,59
83.0884963927674,55.35477744821133,89.99505218916599,53
71.44827552548321,54.498621194955554,99.0171602284168,37
67.17564825861469,70.19275924369809,114.75418923202704,41
118.83234149373516,56.03274522200343,120.80735267427072,31
91.14361876251245,70.25642965356343,116.70205176963005,14
49.16910221780341,62.394490009134415,96.7707487124172,21
60.12048900272372,66.58418705663624,84.27676412024559,0
67.02798316334368,59.82976959440404,63.98858045611385,42
71.0694589846,66.34394031351064,71.07457110136309,42
100.96666692083602,47.70714314838607,75.8802705760833,38
77.23594902915009,65.88071163798679,69.73513728089668,42
88.16486685786207,50.49215448519743,73.61302644753647,9
61.04884828626818,55.589139851802976,83.18990483892648,16
80.27196999436262,77.83433931864869,83.39123455976717,44
60.42012275988937,62.80226763098919,108.48814402720144,37
85.58460717163975,61.9374280429297,116.73214422852116,14
116.35581931766494,69.98825263930964,108.78793644755706,22
103.85869746233774,58.30417865007456,127.99694531888797,25
98.69431767124158,62.10112622517882,108.12431940555346,57
64.4731993396352,61.7336430562901,119.85640433021211,59
72.27542049877812,52.17111503133858,94.46723391051805,16
94.72556721140538,63.10554860372928,59.092245639464856,30
53.685841868977285,61.30481495619143,77.78823188567785,0
