Mol. index,alpha1,alpha2,alpha3,cluster,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,subcluster
43,60.12048900272372,66.58418705663624,84.27676412024559,0,181.05649275347452,-4.746771819965403,189.8272635794412,25.41212891485381,194.4309939026063,172.33209738060418,-3.099808119324956,0
59,53.685841868977285,61.30481495619143,77.78823188567785,0,160.9917781600752,8.12815130044433,163.83923811189482,-8.593845341284279,180.19261241739832,171.832912494538,-10.683419607617346,0
77,52.88760103921233,71.89459529480057,75.34606328280562,0,183.71008138601533,-3.518639468320147,161.88403670242894,-0.3693379331438229,204.4774197128529,170.29439058988487,-14.8514304116455,0
89,62.65994535271647,68.76937511679041,81.1437925623537,0,193.42671900415374,-2.854285394544638,167.50950687190752,-14.977237745165388,187.65557059259032,182.33414224792077,10.432078868675514,0
133,60.180048116406425,68.72527212746743,84.06052142962132,0,203.39812630675007,17.887002562004533,144.09925608011903,2.133461268633887,185.77128178155354,220.8863346353343,-3.050709601234125,0
152,62.73760415105381,70.45980705491274,73.15923884101021,0,190.4436380358942,18.783562503387063,169.80158794559972,-2.5786596828123227,210.84369472497943,149.50648929307891,-18.371222523127702,0
154,71.65129073272229,76.47606865725274,83.15233671681881,0,146.99535500823663,5.188371635555244,189.65509360008224,-51.20905978075465,168.88725239091158,173.20972069576214,7.537585079345155,0
187,61.60162774359312,66.12105127004294,77.99308562537489,0,191.76214244033733,13.81282028743128,162.7007297048723,-2.0699407861625025,201.39634079109794,173.18921106309642,16.53648008351839,0
192,65.29450235175726,66.58653758580405,84.07654599548337,0,172.98819497610256,6.133044883266682,154.34052231669654,5.767287901240782,181.42630136537994,181.27647639644445,-11.406622262436816,0
195,59.60953183151102,59.38702490295774,77.09003838170163,0,186.09702865610404,6.689531882806836,156.5003410152202,-3.884932698844392,181.58694249568276,162.68318595826568,8.094371528426331,0
307,62.13261835054072,69.64495681991825,71.78464100994641,0,180.27854277152744,1.544347667544094,167.36544462587412,174.02192832943322,13.06971719766812,170.6490262724556,10.887417657341969,4
403,61.12143270954461,73.53136605804966,88.45751862699535,0,172.30608135450083,-3.828241630347998,178.99929161825173,3.439215039928265,179.16604159425583,193.23052862131183,-8.986037455912168,0
430,65.16490529936192,72.28364903905877,81.81312488230331,0,164.5018870422007,-5.466702842315203,163.76976463053236,11.753748552634937,177.57697688607757,168.98448287184766,-15.512782068406846,0
446,64.46030329473562,67.34876882623203,76.32712797538593,0,159.3480675901688,-18.161632013790868,193.6180460330567,-15.153951537264607,187.64609799073287,189.22144902575096,40.68295547586339,0
458,62.38145250814512,64.82366998196069,75.46269294817756,0,160.06130010012453,9.16927895219012,157.52734202617873,18.259243298016905,181.22897465179315,178.14448728442065,19.613985952804374,0
480,65.10205566172273,72.69540082382481,70.88074146895829,0,152.94911122977064,-9.62552164232567,199.8915028614084,11.635750443654342,178.7318760051016,-7.8768900765320975,181.67225140862138,2
525,59.92475341542509,76.03374136931978,72.74170903164801,0,158.17189888369143,-11.755959642474972,149.07597880916586,8.788224474545327,167.83006900990895,5.013718363868366,144.947165926986,2
543,53.42846833084453,55.89002802757711,76.46728193735544,0,163.10631993771688,-1.5589267253708925,187.42186417469125,4.691263989181699,160.80239198356531,-44.499530832863975,172.75930709989157,2
569,68.50093131679505,71.23181817235248,71.05296329558898,0,136.0943519745338,-12.767150929213576,182.04990311773506,8.482727369060864,164.14175651671457,187.39620017837402,-2.0068920274038624,0
587,67.69981869361987,75.45059082317385,81.80569297848801,0,184.20651096222747,9.396829400339016,181.34087362405984,2.404922558797276,185.23580161712118,180.40287429771146,0.945113550327942,0
589,61.58815841188367,80.13830384713823,73.36775865507327,0,172.21504898677884,-23.595609600693724,170.2487281409458,10.149077018786931,189.8964461896233,197.91973772624326,-15.27193995245711,0
591,62.40783076066978,75.96372806069938,79.27026487057904,0,172.30635594258715,30.393168030962705,192.6603192262615,3.132272129537108,179.40826180736863,206.39805716955638,5.56028877211892,0
593,67.24298425412887,68.16701645242696,71.12221002759775,0,157.05033039640605,-1.4444334328578583,170.31233598262045,6.530502325196588,198.98221144421638,174.94160196480792,-0.9960533326927868,0
617,62.83230397747335,68.02456755480418,76.45274021118139,0,166.60770099082845,3.260795089935088,161.27059933900173,-47.36096376624854,179.57721995073254,5.198925905923462,168.82105374832707,2
669,57.82662342289368,58.22630777983621,75.94289915449687,0,216.81935449779098,-15.24179105977448,157.72336188877838,4.3706073495244455,200.82320286771534,171.42374141005754,-39.51867335111585,0
670,62.21365378909002,70.46760938098527,71.50306108608517,0,181.18785671633515,-34.70169275664621,204.13711017514206,10.58760981908147,188.69657443222772,197.4182894868194,4.526975378745857,0
686,51.44202255140009,69.23250630817809,77.51326702752128,0,161.1659301147671,17.114392162284105,128.4890307104924,184.10280574318952,191.76050588458136,180.93567805535992,2.7307094812959782,1
689,60.433397024909965,75.77769812035315,79.20320279578233,0,163.08730556763044,0.3800545146051318,170.82669436807,177.08409759960142,190.7195534911246,185.35700622569985,-8.282823422025539,1
691,49.85565410392681,56.19427001727602,76.01163508670389,0,143.26708890931263,-29.149171149665108,199.16757202776955,200.77352788432506,185.34289146317727,169.42997530819727,-5.624713809110523,1
708,57.72358784538596,73.46343918478023,86.21287257479108,0,181.9525875540371,194.405344530769,186.6844255538625,202.39397767949956,189.53876041147342,183.74899451835816,1.7300608387265637,3
821,61.84488607380466,65.13456073389158,73.41241768300925,0,178.77393347922063,-19.45995835362385,156.7204088865899,-4.465701978417874,156.12494990370666,-12.937586886942748,199.94129722706248,2
1479,64.75990155205272,67.4502967723143,86.53569258591969,0,204.05498881549028,-10.979330295875643,169.81949802448173,-19.967853529023767,209.42386472358146,154.42552055980823,-7.19949991986527,0
1503,65.52765652149165,66.32200868274123,74.65957047841971,0,201.31763712187413,-20.491905536077272,170.56145285821893,7.281386130062627,173.89144160616442,187.41137211958383,-1.7072346663676483,0
1548,57.45440673612343,68.30179911643215,78.59924999847497,0,163.33181589613864,-16.552286165492337,178.69939702221976,171.62575365393968,205.21680481001275,189.98028175865127,-0.3941326225991926,1
1553,69.03706116982812,65.66523818947478,80.91860121169182,0,184.75142882621088,8.391509481064205,172.15144610976984,184.25157820457943,174.88909236486666,193.70189572693016,5.2287575478178265,1
1558,56.65610733692851,79.62207994971247,73.19329355488038,0,165.5012640854738,-46.8432981673621,202.5908376381683,194.5929508677019,188.10304264956952,162.15462550329127,9.894825849356724,1
226,124.16659942525244,102.99250029690616,76.50625524671815,1,168.98393029954357,9.018779573164757,172.81192082396095,178.33324149348854,5.234503722368768,167.0495456539294,4.317386246437041,5
265,129.8279882594937,121.65004731875186,83.80698835352375,1,146.64014068672472,-9.4710792112108,162.55046863789258,172.7558906658187,28.011323257036057,168.77250241505195,12.774929322265772,5
488,118.89362797731,106.53226192094291,78.40296487121324,1,168.9183393706824,15.838955582455078,169.17943152472955,43.11734113914972,184.56977517706284,9.987777287467594,183.44265648135126,1
492,131.89075460800794,118.23866468834568,93.06393852793846,1,167.667257584194,20.172554054384168,191.32970218691898,3.3086470910208905,182.77115619114167,-13.520335605327547,169.49376017974214,1
523,115.08122687151074,107.17619377453364,78.89919823990797,1,191.76716706223752,0.2395830489448933,178.67895843701035,1.7682250018337229,142.20871911670662,-14.00271525659489,184.7912916139323,1
706,123.06752476484311,108.00646830739754,98.27021441448424,1,166.83867220222774,213.4375249740706,185.6739755128874,183.34777734466886,167.89908428588603,182.39867029675128,0.9585864524682772,6
767,125.76364472534613,105.95959919519736,92.22437163404528,1,-27.187345627822214,11.401849549725856,196.33733516822767,-12.01300551532018,164.18421987047213,156.45252288550884,-10.768538106704645,9
787,116.61531122354506,107.33938474247104,82.89522786919785,1,-18.174998929245906,-7.422863394664431,135.03412481539655,17.288860997835606,191.6601008761412,180.57215584756366,-1.6979572224203503,4
841,118.94322540534908,100.5036208894976,92.21288819219522,1,210.8336137486613,2.9279208196647613,184.05252542602076,8.93577475751354,158.6950449185833,6.299721487324415,162.8645307614222,1
908,111.62744663195976,107.1527255324222,86.85172800199328,1,184.9157757864105,-9.643358372950766,191.64150701940002,8.916067090095257,182.22529380023423,181.01918476624593,-3.967236675945292,3
916,133.71021682340918,99.84364773384206,93.27599884019716,1,178.1090507834584,-1.6959372409391882,170.13527827549277,-30.726125518020183,181.31400995831152,186.46305869848243,-27.25419342754637,3
929,119.12448826603404,95.6530167282956,92.27529555188715,1,196.9996384982525,-14.943760349087963,210.33781821772735,-24.775337346793066,187.12535795119786,134.20440376152726,3.2836676860991254,3
1037,128.28963872183706,100.45612172832148,77.54394741113987,1,187.05656557201326,171.1792055526767,7.513999292081315,-43.63519279765692,212.27267831173106,174.4414459802308,-20.54682917720844,2
1081,123.01630605127468,95.80121008789811,94.48837994192256,1,176.6600648685027,180.3125561043743,-1.153042666285511,-10.40445557961048,179.42510942910266,192.3672569940557,16.93577528851896,8
1135,121.83083625686344,98.76018328891618,85.72165329556185,1,181.24991799052177,186.65936403800893,171.87861674382637,199.21838785859234,-9.963030736564574,200.10719303114257,5.624134884131765,0
1156,114.5535042810768,113.42893410690505,80.40780005872371,1,190.7989367399275,182.2396196474583,192.91220174582585,161.66383292746977,-20.79638179798508,186.1122722764041,-24.24157533608578,0
1193,126.5113993274029,111.66140606588212,101.44222399870756,1,180.962497627341,181.38614766139136,198.6861688010106,191.01629478159035,-24.158654971372293,186.2424884900631,2.211756281413787,0
1232,122.16285560713791,116.1574524663104,88.32357640148197,1,160.30468619316753,146.17826137095147,12.80183687287868,19.77266984098156,176.01183906191014,166.85297970288897,10.050187910687034,8
1242,125.19856077474378,103.766936037078,88.13096720497772,1,177.7027533692236,212.5961524508281,22.110551453905885,-26.49236965910415,175.53655856831747,181.41780966923184,-23.560505578974148,2
1565,116.2907233299512,101.65193588082336,91.1147662268603,1,194.63132955797343,2.4717851568500526,181.08200743709423,179.11249449540773,201.04201344231714,195.80995909934464,7.19432327139745,7
110,114.54426726487364,58.1560983336956,109.089990965061,2,176.79105185405976,-13.72896475784757,184.72287463415017,5.30844163184973,170.61789176567078,188.03458967471144,0.2191164382816926,3
509,130.71225118847727,58.50749359834617,99.64720089153674,2,172.59731809707557,-17.63759753638449,150.09392858282524,-5.0916771160132654,147.6072120779748,-6.711030310532266,199.58204246475523,2
704,116.14198696577893,46.15418654058962,103.81528860396462,2,182.4865389763878,171.24458692518388,177.9814930940116,193.14595284559078,195.71882230521547,169.19543419661093,0.5469231538684338,5
882,121.25466682622124,65.59297858029292,104.86166703732866,2,163.85439986951715,17.91360717761845,196.7989433272694,6.948723217868722,186.157836247812,176.58320032733067,-21.052307339428573,3
887,112.858967049949,50.25517451707879,101.10379316663544,2,178.70886034270862,-10.44468072684123,179.1397237708348,8.017919051867283,172.22675294084684,201.63767757981856,7.414621721418356,3
1029,115.74013575733376,63.17151304921051,101.31288523998248,2,172.79379181050717,221.06296348928802,-5.736816263347839,-17.192127719638936,162.10117658835065,175.12982007345377,-20.420089316888493,7
1098,120.47276539120212,51.43432206662949,103.3285356470539,2,180.79561028305704,194.13505635516884,-8.42495532057022,195.007099628031,195.34533500001052,194.23591856760984,-7.435672972877383,0
1154,114.2563272682268,65.95903194124554,105.672649171301,2,207.41138121980453,186.5942698904093,171.2573438130786,163.95116324186552,-13.934480078721355,179.42961856072966,-13.255880213996246,4
1205,112.18215678844118,50.96271466213253,102.50625198966338,2,189.00210579227482,234.8426334524367,196.16732463797658,1.3481194598733424,148.49576432964471,180.60450346820022,2.311816445505047,1
1273,115.39235060316716,63.127605871998846,100.81945800835406,2,206.14481469184292,189.39714144066275,4.475817083700041,171.1602202352125,191.18199348052963,183.42386675874016,-16.277784452690458,0
1336,116.77779879776314,48.9761464519538,114.19503258143092,2,184.30098214945272,189.30811848706074,-1.894210502905353,172.82176302307312,-10.409104579160129,191.90401689056355,7.595907446856712,6
1357,117.2545090611397,58.424916916984,108.50805855877078,2,194.58318278539983,189.8850627433702,-32.8307433479548,176.83949101204811,161.2081083443635,205.09456984989035,14.58486583866813,0
1393,112.35940199852,58.245957118539074,109.46625160473614,2,150.02923582504826,230.1791623720021,-21.37264322593819,137.6146293280547,206.55554272728563,178.02598832355653,4.299570772792046,0
1405,116.45744423053053,51.83478712398705,106.32181852676824,2,184.71569187142848,219.45837267632618,170.19208790966152,-11.341180573471554,157.5377169101829,181.661402371463,-2.148167498911939,1
1432,116.124639816834,49.36584831623743,99.69123975579484,2,204.26816750170877,192.76094274197084,150.5471109868014,6.329899596290329,159.5669250591198,170.2370361082409,34.19207132903712,1
1457,117.74179951712658,47.508715011302925,100.6883494362032,2,165.2217786998948,170.8046674610013,116.16834009206995,-4.415417498431833,200.87001610507798,177.94970092790751,6.994373354068807,1
11,78.61798057342399,82.59287241429132,112.51181932452704,3,161.97179851089516,-17.956685604926296,181.35426414561218,3.870883239493272,193.27988482126355,197.26676439609545,4.621142155902932,0
26,77.12715106318943,77.55760098073107,109.52584062309106,3,162.2439031137096,-24.70235846728779,164.79816486474368,4.35342845645672,164.8544343008625,164.11792197141548,-10.47513248759676,0
29,80.21381767794738,70.15430744561392,115.79600667076116,3,185.14610768668948,3.662752767595589,201.55149968434011,6.931526688825032,171.55639922345742,184.43984630991767,-10.348030986505144,0
97,78.92872782804642,79.17341803057242,115.1050233918722,3,163.0815881414264,-0.2091977212378402,179.6229151524116,6.265271234741498,187.41248364462717,150.34708236300037,-4.305857342265638,0
148,87.43270274866171,74.68372155718549,102.69827212251622,3,194.2072650091115,-16.76118687895382,185.18256564055656,-1.5128064053291614,202.41039759234337,193.17257609086815,-22.14466070557856,0
164,82.39777485028915,68.22031951643692,113.23019542709586,3,172.13052108678338,-43.84152109527641,163.30872535206186,-17.327012847434712,189.03445182651743,193.9405180837917,2.634316712544968,0
243,84.94336279591154,88.20253361414909,107.91000449830756,3,188.8656251170112,9.961607375992784,175.46322490719348,161.8777073274396,-34.49043620712541,160.40563654052232,-8.473943384956062,2
364,83.58484171759862,78.15685504878041,115.56798316893092,3,7.543123221037629,-1.601097525677743,200.84303064469614,160.43555293062403,4.869887096142885,169.46669003278623,34.01022297190181,7
