Mol. index,alpha1,alpha2,alpha3,cluster,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,subcluster
66,123.55930289334616,112.47603976133476,73.42248533453576,0,7.147281616208841,174.40727740004124,-27.304984051082027,180.89867097652512,176.9797107563408,-6.363597043388195,0
190,113.5671958931721,115.65463851085804,73.64762549337256,0,-0.5452537450172027,201.04026325717936,11.420245251106936,163.02521978781445,210.67314411565073,21.59767307284489,6
210,120.5416319946129,111.7011736714428,59.529531392852654,0,197.71842251433063,182.78046168399888,1.959175744816867,185.1418086148663,190.0592184396858,17.809065098942973,4
303,107.87013234688447,113.35111095064562,62.404104407258885,0,157.85743993326636,173.12541926716082,1.6143679087542882,186.1605808309111,181.21871870510887,-12.136310187000394,4
332,109.25366585840597,127.10125845737436,52.12516546174829,0,2.800761653520336,181.77805749535972,1.0966377780582837,181.13173351834794,233.00495397385484,-11.477398109009778,2
333,113.36868658833232,116.37917063530952,63.92104219785112,0,11.441214279430568,181.6787843123769,8.232959446382443,185.91243232413552,202.17161181863568,-13.45903813744982,2
361,119.90808196592076,121.30215319104434,74.31996436345383,0,-9.174789429281844,174.54315862527676,-9.653341008519462,201.78878302541162,184.30127362486962,-20.196251428912756,0
452,105.25417723590728,119.73050468072466,60.21551801854224,0,2.1883865283121,190.337915986613,-14.186542201476517,179.84334847427593,156.59045298354604,-3.734566300108596,0
525,115.74399992552716,111.598600852714,58.60000449579334,0,6.007503382221676,188.90170438759912,5.961826543130577,181.25695092153887,186.4086471562042,153.63161661684188,3
577,109.88785483313804,110.16682169541488,71.90941576545019,0,7.270922284695463,187.53877776240196,172.98794236240937,190.48351090137322,-3.328411495922597,214.66035448363678,1
578,106.38321983079943,125.3085039855512,65.57887507943529,0,-16.226909111200328,182.90870644253067,202.1201096744988,163.0856642994986,-11.99386163773312,143.82637056033636,1
582,108.26551586453836,114.57453485564976,67.18420670479952,0,21.601261605976223,187.24340241896346,162.89286917757872,204.59351859503315,-9.808601852635103,161.55482017081735,1
588,120.79726021252202,112.77933937760297,60.04593477501937,0,0.3758185433439889,161.85464017835218,177.43406337657967,160.56444457146327,1.9417373516966645,145.4572214835333,1
601,115.2384132677438,119.96018941739196,61.695295119275634,0,15.522642322456042,199.84191922996374,-25.087132297039357,194.28444244541032,149.92957843285853,6.209604421783474,0
604,119.32622167785458,122.66878390444278,60.68980878918319,0,12.851115884288152,154.4870673676619,-21.4620359481443,185.82874002461688,178.09258528844714,-16.045683942104457,0
673,115.59745505068337,114.96201696969868,60.77455735617964,0,10.69682056965662,192.85200022092909,18.47468868204134,166.66806459049948,182.29697836435068,-22.68575346461051,6
751,112.63896920220505,123.4886807772412,68.83751723743686,0,-16.108999406481573,173.6296529810119,-13.889591337210769,205.2949359047722,158.46734974600056,3.1373944867549564,0
753,113.0002323004303,106.8247929134148,72.8156489996531,0,-20.613270408650266,199.436187264453,16.419890003180754,191.25399873457428,178.67767228424484,2.373472241130413,6
780,117.90721728697643,111.81247943736986,71.87404744097815,0,-4.054444973330376,155.6519494615383,-13.165564164765016,203.29112371509487,184.38895742986173,11.196704171146656,0
781,109.54183609828402,128.79320007537171,65.42581714924816,0,-4.414040388845383,180.41009416405532,16.32991458611516,177.5482867154987,186.68565141039872,10.273834791526289,6
785,120.10086381993648,125.16020484229472,75.36529122611464,0,35.60064970070978,185.69482572621635,-3.725014759197317,201.3806550526376,212.95311181293494,-4.670278692913828,2
860,105.83032929593014,122.38890096448569,65.56450895992812,0,-16.998970587125484,179.20343466353972,27.81486826137212,208.53156374947562,200.70325776254987,-4.747756831534649,6
961,115.84787590050264,111.53015124388044,70.07196415697321,0,5.541948432240263,191.1221885481234,15.685859667920326,168.39892944574382,5.601116099922001,157.24439914153325,5
985,128.97398580092914,103.7788147193886,53.08239928032542,0,25.219294903633475,173.31262636528348,184.45868700837093,171.46061037397183,6.368514737788433,158.19599026676934,1
1020,107.70402310856792,117.06173834434856,59.01925284369294,0,-15.95007052207048,203.30714435787056,11.79378519069868,200.3246870009416,169.82689682236287,64.02364636765233,6
1029,108.91086668003608,121.06670762311892,65.38538614691014,0,-14.289546332790668,183.07795002857148,-7.123039685245527,193.7971563512192,193.4407123746131,-17.223821122686577,0
1337,104.20201079222974,120.04202044987429,58.73964220916583,0,-2.53607754101984,195.08623636909695,-11.844931815844538,186.07141991655072,207.02308122675882,-41.80980773157517,2
1338,112.48823214990222,112.71221990241516,75.76193212116645,0,-0.0749695912015775,174.17690269664948,-2.238305274360932,155.3160305710417,197.0072963603453,52.84529634864368,6
1339,108.77970727186012,117.33316670260048,64.1153376269302,0,-4.916666208134743,164.71051826722996,-9.928234039745057,205.9372198364306,170.64550206436908,1.7965586634218258,0
1355,114.52652101521238,109.1431370045116,71.61346483583648,0,12.631594114700174,166.4947484468821,-10.067753418373544,174.00872111348673,235.3969755259672,17.306386739626923,2
63,101.07543335909432,97.31384755377016,98.68208258175484,1,-17.43795215699838,179.974613382665,-33.66262590762661,206.76068383883202,152.91379618737992,-31.67591492912412,7
105,91.40119762857636,103.96584433520108,102.58852657633857,1,2.582632967004176,167.214553482778,-10.901364453775894,175.28575090725147,9.699033358603756,229.70441216544594,2
136,95.74626600460262,95.93020505997046,101.43718281549786,1,5.995199069195504,161.15616741191275,17.18421247638049,170.98145220882222,-5.292373186437874,172.53802471189454,2
208,86.51349831589789,100.97081802705527,111.61984386014966,1,163.74082184445345,174.59871255558673,3.905559676288525,192.35000564964028,189.31495855921509,-24.27884449672406,0
359,98.70681303644794,97.08087656352856,106.97374065564526,1,-0.3924890344528715,162.8442288769947,8.256903178984908,194.7598114007274,193.6213525666284,22.990391763322428,1
367,89.04649391228935,107.13712313962408,105.93089914528882,1,19.31450562013304,177.99237932664948,11.523100703280392,170.79808311393612,199.39156707405797,-9.084822477359827,1
374,84.68481279247052,96.41363496554769,102.53564596098664,1,-13.01750469316076,177.27923144854972,10.513770969564757,172.09161602560096,140.15550023954356,4.838835912124393,5
443,88.99615942237483,90.9207185038431,101.54221971932964,1,1.1560157558587094,195.6876798434478,-0.2191910360198649,187.3857120606065,199.06999776083853,10.24410994643872,1
467,86.94990314956137,87.30566024385861,102.7355916839845,1,-5.353747424364616,184.4233418550612,-0.8423012714593859,198.6934875395007,184.88828731469394,10.585953119265527,1
586,81.90742622879897,95.93157203634615,103.58954258898883,1,-3.213621440519689,178.14015975395424,196.29349988974283,162.0268953696534,-11.764313727080848,159.92012100012832,6
603,88.45801373248533,95.15381407816623,104.25900409131953,1,-0.200692504477691,184.95350469440584,-12.96730575335532,167.30973481739653,196.20474888644765,13.03564151468702,1
682,82.28128276542772,103.78416848644972,107.26873439537432,1,-18.36047009360256,158.1058683888832,-19.95685060455046,178.8686800613107,180.4431257310047,-31.172988350163426,7
737,81.32107662049148,96.76950343022612,100.9261734006677,1,-16.957734317483386,197.94163999849266,11.240488038831565,159.40067290965155,189.34646150421554,15.385207761923068,1
738,100.32413319685118,100.02773574624126,100.18004517510452,1,33.407615220996526,186.7921781778694,1.4754627648643377,201.65870977937172,165.57926207651576,-9.057207402198337,1
811,84.3573617129038,101.55287208575174,105.1628456005371,1,-4.241309238731392,194.570964584183,-20.585450635374567,186.4317996511481,205.37323442683626,-20.320420386153152,7
915,86.35083678063822,95.31808828459332,100.24023843382788,1,11.718139098543244,187.41876709613294,31.68286800932618,165.7502792578868,1.9120423101643031,180.91032029965848,2
927,86.45081951230549,100.25860052409034,102.1236479360641,1,-23.816720184498838,178.13933969673008,13.060910335607632,194.41547610514064,3.758013350760425,169.6488056228809,2
1212,83.13205153329963,106.62329080890234,98.62323731982336,1,206.02562611252264,-25.26928605411651,7.900039024309305,169.14046777859951,175.5768491251073,-1.0548177583184577,3
1298,88.80512017109147,99.2059588547938,98.90645849024418,1,4.855674742008695,180.17190678198898,13.060015792948048,179.53633247282568,168.8175409579456,17.99789931914776,1
1305,93.29837399702168,100.08284078240996,102.72138750023451,1,-0.2245086141714182,179.98717877387324,177.99141469001984,190.6900532747296,193.6626137466249,-0.0976746339550686,4
