alpha1,alpha2,alpha3,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,cluster
62.66626672717767,69.03103773477501,78.49596506113927,177.92779687948533,-1.400714145305879,171.8663305771533,0.03910307134348525,187.51243750011506,180.2114479770097,-1.6840213308600918,0.0
57.47977482051949,69.13226528357112,77.57320827917579,163.5174722332556,-11.109799887427684,175.32082964608162,185.40511899222284,189.3386484438887,180.2599104296883,0.5921038374558792,0.0
60.62649349185407,67.5556597018835,73.99097806643047,163.9217929042456,-7.827914254772059,170.87607081417144,-5.342285367457009,168.613301370603,-11.020272705309399,173.62821508217772,0.0
57.72358784538596,73.46343918478023,86.21287257479108,181.9525875540371,194.405344530769,186.6844255538625,202.3939776794996,189.53876041147345,183.74899451835816,1.7300608387265637,0.0
62.13261835054072,69.64495681991825,71.78464100994641,180.27854277152744,1.544347667544094,167.36544462587412,174.02192832943322,13.06971719766812,170.6490262724556,10.887417657341969,0.0
120.96524662178103,107.95017448723445,89.19055911766436,184.33711745259677,183.42837711561955,187.82566243022094,183.96617185588414,-18.30602250197398,190.82065126586994,-5.468561390180077,1.0
121.20220871554444,108.11268531832997,85.64474745781372,184.7965944414438,9.794753376362227,180.8101543936699,14.282496997379468,167.06117385087362,-2.8088880217826064,175.14805975911196,1.0
126.74409974829042,102.11152888269973,82.83745730805879,182.37965947061844,191.88767900175242,14.8122753729936,-35.063781228380535,193.90461844002425,177.9296278247313,-22.053667378091294,1.0
121.48738390713432,100.88312999818662,90.80100746469253,186.67482168937377,-8.761018654325973,190.70486783754004,-15.528465258239331,183.55488723658118,167.2288824087519,-9.312587472464179,1.0
116.61531122354506,107.33938474247104,82.89522786919785,-18.174998929245906,-7.422863394664431,135.03412481539655,17.288860997835606,191.6601008761412,180.5721558475637,-1.6979572224203503,1.0
126.99729384237307,112.32127380782902,80.15662180012094,157.81203549313415,-0.22614981902302134,167.68119473092676,175.54456607965363,16.622913489702412,167.91102403449068,8.546157784351406,1.0
